TYPE,NAME,ABBREV,P,E,N,S,PROPERTIES,FROM,UNTIL,INFLUENCE
NL,English,,1,5,5,1,c w s,,,
FL,Propositional logic,,5,1,1,5,f w a,,,
FL,First-order logic,,5,3,1,4,f w a,,,
FL,COBOL,,5,2,2,3,f w a i g,,,
FL,Manchester OWL Syntax,,5,2,2,4,f w a,,,
CNL,AECMA Simplified English,AECMA-SE,2,5,5,1,c w d i,1986,2004,ILSAM / "CE at Douglas"
CNL,AIDA,,2,5,4,1,f w a,2013,today,
CNL,"Airbus Warning Language",,2,1,3,3,c w d i,2003,?,
CNL,ALCOGRAM,,2,5,5,1,c t w d a i,1992,?,COGRAM
CNL,ASD Simplified Technical English,ASD-STE,2,5,5,1,c t w d i,2004,today,AECMA-SE
CNL,"Atomate Language",,4,2,4,3,f w d a,2010,?,CLOnE / ACE / "GINO's Guided English" / "Ginseng's Guided English"
CNL,Attempto Controlled English,ACE,4,3,4,3,f w a,1996,today,
CNL,Avaya Controlled English,Avaya CE,2,5,5,1,c t w d i,2003,?,
CNL,Basic English,,2,5,5,1,c w,1930,today,
CNL,BioQuery-CNL,,5,2,4,4,f w d a,2009,2012,ACE
CNL,Boeing Technical English,,2,5,5,1,c w i,1998,?,AECMA-SE
CNL,Bull Global English,Bull GE,2,5,5,1,c t w d i,1993,1997,SMART Plain English
CNL,CAA Phraseology,,2,1,3,2,c s d g,1984?,2011,
CNL,Caterpillar Fundamental English,CFE,2,5,5,1,c w d i,1971,1982,Basic English
CNL,Caterpillar Technical English,CTE,2,5,5,1,c t w d i,1991,1998?,CFE / KCE
CNL,Clear And Simple English,CASE,2,5,5,1,c w d i,1986?,?,CFE
CNL,ClearTalk,,3,3,3,3,f w a,1990,2006?,
CNL,"CLEF Query Language",,5,1,4,3,f w d a,2007,?,"Drafter Language"
CNL,COGRAM,,2,5,5,1,c t w d a i,1989,?,
CNL,Common Logic Controlled English,CLCE,5,3,3,3,f w a,2004,?,
CNL,Computer Processable English,CPE,5,2,4,3,f w a,1996,1999?,
CNL,Computer Processable Language,CPL,3,3,4,2,f w i,2005,2007?,
CNL,Controlled Automotive Service Language,CASL,2,5,5,1,c t w d i,1996,2001,
CNL,"Controlled English at Clark","CE at Clark",2,5,5,1,c w d i,1988?,?,SMART Plain English
CNL,"Controlled English at Douglas","CE at Douglas",2,5,5,1,c t w d i,1979,?,CFE?
CNL,"Controlled English at IBM","CE at IBM",2,5,5,1,c t? w d i,1989,?,ILSAM
CNL,"Controlled English at Rockwell","CE at Rockwell",2,5,5,1,c w d i,1988?,?,SMART Plain English
CNL,Controlled English to Logic Translation,CELT,4,2,4,3,f w i,2003,2010?,ACE
CNL,Controlled Language for Crisis Management,CLCM,2,5,5,1,c t w d a,2009,2011,
CNL,Controlled Language for Inference Purposes,CLIP,5,2,4,3,f w a,2003,?,CPE
CNL,Controlled Language for Ontology Editing,CLOnE,5,2,4,4,f w a,2005,?,
CNL,Controlled Language Optimized for Uniform Translation,CLOUT,2,5,5,1,t w i,2002,2007?,
CNL,Controlled Language of Mathematics,CLM,5,3,3,3,f w d a,2010,?,
CNL,Coral's Controlled English,,5,1,4,4,f w d a,2010,2011,ACE
CNL,Diebold Controlled English,DCE,2,5,5,1,c t w d i,1996,2000?,CTE
CNL,DL-English,,5,2,4,4,f w a,2009,2011,Lite Natural Language
CNL,"Drafter Language",,4,1,4,3,f w d a,1998,?,
CNL,E-Prime,,1,5,5,1,c w a,1965,1997?,
CNL,E2V,,5,2,4,4,f w a,2003,2004?,
CNL,IBM's EasyEnglish,,1,5,5,1,c t w i,1997,2006?,"Controlled English at IBM"?
CNL,Wycliffe Associates' EasyEnglish,,2,5,5,1,c t w d,2003,today,
CNL,Ericsson English,EE,2,5,5,1,c t? w d i,1983,?,ILSAM
CNL,FAA Air Traffic Control Phraseology,FAA Phraseology,2,1,3,2,c s d g,1984?,2011,
CNL,First Order English,,5,3,4,3,f w a,2003?,?,
CNL,Formalized-English,FE,5,4,3,3,f w a,2002,?,
CNL,ForTheL,,5,3,3,3,f w d a,2000,2007?,
CNL,Gellish English,,4,2,4,3,f w a i,1998,today,
CNL,General Motors Global English,General Motors GE,2,5,5,1,c t w d i,2000,?,CASL
CNL,Gherkin,,5,3,4,3,f w d a,2011,today,
CNL,"GINO's Guided English",,4,2,4,3,f w a,2006,?,"Ginseng's Guided English"
CNL,"Ginseng's Guided English",,5,1,4,3,f w a,2004,2010?,
CNL,Hyster Easy Language Program,HELP,2,5,5,1,c w d i,1987,?,SMART Plain English
CNL,ICAO Phraseology,,2,1,3,2,c s d g,1984?,today,
CNL,"ICONOCLAST Language",,4,3,5,3,f w d a,1998,2000?,
CNL,iHelp Controlled English,iCE,2,5,5,1,c t w i,2009,today,
CNL,iLastic Controlled English,,5,3,4,3,f w i,2012,today,
CNL,International Language of Service and Maintenance,ILSAM,2,5,5,1,c w d i,1975,?,CFE
CNL,ITA Controlled English,ITA CE,3,3,3,3,f w d? i,2010,today,CLCE
CNL,KANT Controlled English,KCE,2,5,5,1,t w d? a,1991,1995?,
CNL,Kodak International Service Language,KISL,2,5,5,1,c w d i,1983,?,CFE?
CNL,Lite Natural Language,,5,2,4,4,f w a,2007,?,E2V
CNL,"Massachusetts Legislative Drafting Language",,2,5,5,1,c w d g,2001,today,
CNL,"MILE Query Language",,4,1,4,3,f w d a,2000,?,
CNL,Multinational Customized English,MCE,2,5,5,1,t w d i,1982,?,ILSAM
CNL,Nortel Standard English,NSE,2,5,5,1,c w d? i,1996,2000,SMART Plain English?
CNL,Naproche CNL,,5,3,3,3,f w d a,2009?,?,
CNL,NCR Fundamental English,NCR FE,2,5,5,1,c w d i,1978,?,
CNL,Oc\'e Controlled English,,2,5,5,1,t w d i,2002,2003?,
CNL,OWL ACE,,5,2,4,3,f w a,2006,today,ACE
CNL,"OWLPath's Guided English",,5,2,3,4,f w a,2011,?,
CNL,OWL Simplified English,OSE,5,2,4,4,f w a,2012,today,
CNL,"PathOnt CNL",,5,1,4,4,f w a,2005,2007?,
CNL,PENG,,5,3,4,3,f w a,2002,2008,ACE
CNL,PENG-D,,5,3,4,3,f w a,2004,?,PENG
CNL,PENG Light,,5,3,4,3,f w a,2008,2011,PENG
CNL,Perkins Approved Clear English,PACE,2,5,5,1,c t w d i,1980,1990?,ILSAM
CNL,PERMIS Controlled Natural Language,PERMIS CNL,5,2,4,4,f w d a,2008,2011,CLOnE
CNL,"PILLS Language",,4,1,5,3,t f d a,2002,?,"ICONOCLAST Language"
CNL,Plain Language,,1,5,5,1,c w g,1972?,2011,
CNL,PoliceSpeak,,2,1,3,2,c s d g,1992,1996?,
CNL,"PROSPER Controlled English","PROSPER CE",4,3,4,3,f w d a,1999,2000?,
CNL,Pseudo Natural Language,PNL,5,3,3,3,f w a,2003,2004?,
CNL,"Quelo Controlled English",,4,1,4,4,f w a,2010,today,
CNL,Rabbit,,5,2,4,4,f w g,2008,?,
CNL,Restricted English for Constructing Ontologies,RECON,5,3,4,3,f w a g,2012,today,
CNL,Restricted Natural Language Statements,RNLS,3,2,4,3,f w d a,2004,2008?,
CNL,RuleSpeak,,3,4,4,2,c f w i,1994,today,
CNL,SBVR Structured English,SBVR-SE,3,4,4,2,c f w i,2005,today,RuleSpeak?
CNL,SEASPEAK,,2,1,3,2,c s d g,1982,1988?,
CNL,SMART Controlled English,,2,5,5,1,c t w i,2005,2012,ASD-STE / SMART Plain English?
CNL,SMART Plain English,,2,5,5,1,c w i,1984,2012,CFE
CNL,"Sowa's syllogisms",,5,1,4,5,f w a,2000,?,
CNL,Special English,,1,5,5,1,c w s g,1959,today,Basic English?
CNL,SQUALL,,5,2,3,4,f w a,2012,today,
CNL,Standard Language,SLANG,3,1,4,2,c f w d i,1990,today,
CNL,Sun Proof,,2,5,5,1,c t w d i,2002,?,
CNL,Sydney OWL Syntax,SOS,5,2,4,3,f w a,2007,2008?,PENG
CNL,Template Based Natural Language Specification,TBNLS,5,2,3,4,f w d a i,2007,today,
CNL,ucsCNL,,5,2,4,4,f w d a,2011,?,
CNL,Voice Actions,,3,1,4,2,f s d i,2010,today,
